,question,answer
257,"как получить копию технического паспорта, плана БТИ  с экспликацией помещений, поэтажный план квартиры по адресу Амурская обл., с.Среднебелое-2, ул.Ленина, д.14 кв.46 для представления в страховую компанию?",Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22 или по телефону горячей линии Росреестра: 8 (800) 100-34-34.
258,"что значит: ""результат в мфц""?",": Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
259,Подскажите как продлить пособие на ребенка я мать одиночка ребенок рождён 03.02 2020,"Здравствуйте! Для получения полной консультации какие необходимы документы для продления пособия, рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.
Дополнительно сообщаем о том, что на детские пособия Вы также можете подать через региональный портал государственных и муниципальных услуг Амурской области (https://gu.amurobl.ru/pgu/services/info.htm?id=11466@egService). 
"
260,Здравствуйте что означает передано на выдачу в ОГВ,"Здравствуйте! Просим Вас уточнить номер дела или описи, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
261,добрый вечер детские в пршлом мсяце приходили 6 числа..в этом  6 ничего не пришло.. даты могут быть разные? ,Здравствуйте! МФЦ не располагает данной информацией. Рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.
262,Что значит результат проверки статуса в архиве ,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
263,Здравствуйте. Дата моего рождения 1966г.есть ли льготы как предпенсионеру ?,"Здравствуйте! Для получения полной консультации какие Вам положены льготы рекомендуем обратиться в Управление социальной защиты населения: 8 (4162) 225-850 или в территориальное подразделение Пенсионного фонда РФ: 8 (4162) 202-400, по месту Вашего фактического нахождения."
264,Если дом куплен за мат капитал можно в нем за прописать временно человека  дом куплен в деревне ,Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22.
265,Здравствуйте. Как изменить фамилию ребёнка ,Здравствуйте! Рекомендуем Вам обратиться в территориальное отделение ЗАГС по месту Вашего фактического нахождения с заявлением.
266,"Подала документы на продление пособия до 3 лет на первого ребёнка, статус стоит готов в органе власти, что это значит? Мне в мфц идти не надо же, деньги на карту придут? Это значит одобрили? ",Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения
267," Оформила пособия на ребёнка в статусе дела написанно следующиюее:Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов, что это значит ",Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения
268,Здравствуйте подскажите пожалуйста я покупаю дом за материнский капитал у хазяев дома есть документы на дом и на землю но есть один нюанс документы есть на землю а диска нет диск будит делаюца в течение месяца в мфц отказываюца принимать документы без диска. Можем ли мы подать документы без диска? ,Здравствуйте! по Вашему вопросу необходима дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22 или по телефону горячей линии Росреестра: 8 (800) 100-34-34
269,Готовы мои документы о регистрации по месту жительства иностранного гражданина. Расписка о приеме документов №2/3/183441 выдана 30.08.2020,Здравствуйте! Ваши документы готовы.
270,"Здравствуйте, исполнилось 20 лет, просрочен паспорт, куда обращаться, и сколько будет штраф?","Здравствуйте! Вы можете обратиться в МФЦ с заявлением о выдаче (замене) паспорта в течение 90 дней со следующего дня после достижения 20-летнего возраста. В случае, если паспорт просрочен на более чем 90 дней, Вам необходимо обратиться в отдел по вопросам миграции МВД России по Амурской области. Информацией о размерах штрафа МФЦ не располагает.
Для замены паспорта в связи с достижением 20-лет необходимы следующие документ:
- Паспорт;
- Фотографии - 2 шт.;
- Документы для проставления отметок (Свидетельство о регистрации (расторжения) брака; Свидетельство о рождении детей, не достигших 14-летнего возраста) не обязательны для предоставления.

Срок предоставления услуги будет составлять 10 календарных дней в случае обращения по месту жительства (прописка), 30 календарных дней, если Вы обращаетесь не по месту жительства.

ГОСПОШЛИНА за выдачу (замену) паспорта РФ – 300 рублей. Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов. 
"
271,Мне ответят на мой вопрос почему нет никакой выплаты если не ставят на инвалидность и не могу работать по состоянию здоровья,"Здравствуйте! Для получения консультации о выплатах, которые Вам положены, рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения или, позвонив по телефону: 8 (4162) 225-800"
272,Меня не ставят на инвалидность по состоянию здоровья и работать я не могу какую выплату можно получить ,"Здравствуйте! Для получения консультации о выплатах, которые Вам положены, рекомендуем обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения или, позвонив по телефону: 8 (4162) 225-800"
273,Паспорт готов?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
274,Могу ли я как-нибудь способом узнать результаты по заявлению? Забрать их в МФЦ нет возможности.,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
275,"Здравствуйте, возможно ли у вас составить доверенность на лицо которое будет продавать квартиру.",Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем обратиться к нотариусу.
276,"Здравствуйте, подала документы на выплаты по поводу рождения первого ребенка, 15 июля мне так и не пришёл ответ ,что делать как узнать одобрили или нет?",Здравствуйте! В МФЦ результат не возвращается. Рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического нахождения.
277,"По какой причине и обстоятельствам, по нашему заявлению на оплату обучения материнским капиталом, выдается мотивированный отказ? Хотелось бы узнать почему? Регистрационный номер 13082021-23886535-23-05","Здравствуйте! МФЦ не является органом, предоставляющим услугу, о причинах принятого решения Вы можете уточнить в территориальном подразделении Пенсионного Фонда РФ по месту Вашего фактического нахождения, позвонив по телефону горячей линии: 8 (4162)202-400."
278,"Здравствуйте.
Мне необходимо получить справку с мест проживания о регистрации с июля 1991 года по дату регистрации по настоящему месту жительства из г. БЕЛОГОРСК Амурской области. Подскажите, пожалуйста, в какое ведомство за ней обратиться по почте или в электронном виде, так как лично приехать нет возможности",Здравствуйте! МФЦ не располагает данной информацией.
279,"Здравствуйте! Имею ли я право на получение выплаты,в связи с подтоплением в размере 10000 тысяч рублей? Если я прописана,имею собственность и участок земли в районе подтопления? Но проживаю в другом месте. На момент подтопления,не могла приехать,обработать участок(огород) из-за размыва дорожного полотна.",Здравствуйте! По Вашему вопросу необходима дополнительная информация. Просим Вас обратиться по телефону горячей линии: 8 914 444 59 04.
280,"Что значит результат проверки статуса:
В архиве?","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг или личный кабинет на сайте Росреестра, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу"
281,"В описи указан только номер дела. Надписи Ваш код доступа в описи нет. При этих обстоятельствах, каким образом мне проверить статус моего дела???","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34."
282,"Статус 
МОТИВИРОВАННО ОТКАЗАНО
Окончательный результат оказания услуги. Результат оказания услуги готов к выдаче заявителю с мотивированным отказом.","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
283,"Добрый день. 40я-я неделя беременности, ехать и узнавать очень тяжело, не смогу стоять в очередях. Подскажите, готов ли ответ, если стоит такой статус: Заявка 16072021-22104144-23-1812
Министерство труда и социального развития Краснодарского края11.107 Рассмотрение заявления о распоряжении средствами (частью средств) материнского (семейного) капитала

Статус 
Выдача в органе власти

Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов
",Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по Краснодарскому краю.
284,"Здравствуйте. В описи документов, принятых для оформления регистрации права собственности, не указан код для проверки статуса дела. Номер MFC-0371-2021-137251-2","Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34."
285,Расписка 03734742 код 2826 сдал 14августа Уже прошло 10дней Должно получить 20августа Мы глухие Жду ответа ,"Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте портала государственных услуг, Вы можете обратиться в ведомство оказывающую данную услугу."
286,Заказывали выписку из егрн что  значит статус перенаправлено на рассмотрение и выдачу в огв,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг или личный кабинет на сайте Росреестра, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу"
287,"Здравствуйте, я подавала заявление на ежемесячную выплату в связи рождением на первого ребенка. В статусе заявление указано дело закрыто. Как понимать с положительным результатом или с отрицательным?","Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .

"
288,"Здравствуйте подавала заявление через МФЦ на пособие на детей до 16лет.  Статус значится"" отправлено на выдачу"" что это значит?",: Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .
289,"Почему не на одном портале не работает проверка статуса дела он лайн? пример номер дела MFC-0303/2021-43888-1.  Так же пробую и другие номера и всегда пишет - не найдено. Я пробовал и готовые к выдаче документы, и еще не готовые. Пробовал указывать номер без даты, результат всегда ""не найдено""","Здравствуйте! Указанный Вами номер дела в программном комплексе МФЦ Амурской области отсутствует. Для уточнения статуса выполнения дела рекомендуем обратиться в отделение МФЦ, в котором были поданы документы. В случае, если документы подавались Вами через личный кабинет на сайте Росреестра, а также по вопросам работы сайта Росреестра (https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_check_request_status) Вы можете обратиться по телефону горячей линии Росреестра: 8 (800) 100-34-34."
290,"Могу я получить через МФЦ электронную цифровую подпись для подтверждения сделок, электронного кадрового документооборота и т.п. ? ",Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем обратиться в Управление Федерального казначейства по Амурской области (https://roskazna.gov.ru/gis/udostoveryayushhij-centr/).
291,"Подскажите пожалуйста, могу ли я дистанционно продлить выплату на ребёнка до 3-з лет?","Здравствуйте. В МФЦ документы по государственным и муниципальным услугам принимаются только при личном обращении заявителя либо его уполномоченного представителя. Дистанционно через МФЦ подать документы на получение ежемесячной денежной выплаты не представляется возможным. 
Заявление и документы о предоставлении мер социальной поддержки можно направлять по электронной почте Управления социальной защиты населения по месту Вашего проживания, через региональный портал государственных услуг Амурской области (https://gu.amurobl.ru/pgu/services/info.htm?id=11466@egService), а также почтовым отправлением по адресу Управления социальной защиты населения."
292,"Здравствуйте! Подскажите пожалуйста, как подать заявление на ежемесячную денежную выплату на ребенка до 3 лет? Не могу найти форму","В соответствии со ст. 5 Федерального закона от 27.07.2010 года №210–ФЗ «Об организации предоставления государственных и муниципальных услуг» заявитель вправе получить государственную или муниципальную услугу в соответствии со стандартом предоставления услуги в:
    органе власти, предоставляющем услугу;
    электронной форме;
    многофункциональном центре.
В случае подачи пакета документов в органе власти, бланк заявления предоставляется сотрудником, принимающим документы.
При подаче пакета документов через Портал Госуслуг (региональный Портал Госуслуг Амурской области) - заявление заполняется и направляется на рассмотрение напрямую в орган власти в электронном виде.
При подаче документов через МФЦ - заявление формируется в автоматизированной информационной системе МФЦ, после чего распечатывается специалистом, предоставляется Вам для сверки и подписи. 
Дополнительную информацию о получении государственной услуги, пакете необходимых для предоставления документов Вы можете уточнить в Отделе социальной защиты населения по месту Вашего проживания."
293,"(Передано в ОГВ на исполнение) это значит выплата одобрена?
номер дела: 63212167202296772 пин 3877",Здравствуйте! О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения
294,Как понять передано на выдачу в ОГВ?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
295,Что значит - Статус: Выдача результатов оказания услуги,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
296,"Здравствуйте. Подскажите, пожалуйста, готовы ли документы? Номер дела 2/1/311086. Дата окончания в расписке указана 11.08., но смс еще не приходило.",Здравствуйте. Результат по Вашему делу в МФЦ не поступал. 
297,"Возле дома необходимо спилить березу, т.к. по всему стволу с двух сторон после сильного ветра образовались трещины. ","Здравствуйте. 
Для получения данной услуги Вам необходимо обратиться в Отдел административно-технического контроля Управления жилищно-коммунального хозяйства или в отделение МФЦ со следующими документами:
1.Паспорт заявителя
2. Правоустанавливающий документ на жилое помещение, возле которого необходимо произвести санитарную обрезку деревьев
3.Схема расположения аварийных насаждений
4.Документ, подтверждающий полномочия представителя (доверенность, решение всех собственников о выборе старшего дома)
5. Протокол собрания всех собственников жилых помещений  многоквартирного дома

В г. Благовещенск Отдел административно-технического контроля осуществляет приём граждан по по адресу: ул. Б.Хмельницкого, д. 8, каб. 35 (тел. 8 (4162) 661874): 
вторник, четверг с 10:00 до 17:00 (с 13:00 до 14:30 технический перерыв).
Для уточнения графика работы в другом городе (районе) рекомендуем обратиться в Администрацию Вашего населённого пункта. 
Офисы МФЦ работают согласно режима работы (https://mfc-amur.ru/mfc/)
"
298,"Добрый день! 29 июня подавали документы на продление Путинских выплат, уже 15 августа, выплаты так и не пришли . Статус у заявления стоит «перенаправлено» и не меняется уже очень давно , что это значит и когда ждать выплаты ? ",Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .
299,Что означает статус на сайте мфц.... Передано на выдачу в ОГВ,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
300,"Статус 

Что значит - МОТИВИРОВАННО ОТКАЗАНО
Окончательный результат оказания услуги. Результат оказания услуги готов к выдаче заявителю с мотивированным отказом.","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.

"
301,Добрый день. Я 3.08.2021г подал документы на получение  паспорта через мфц. В статусе у меня стоит передано в огв. Сколько мне еще ждать получение паспорта?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если Вы подавали документы через Портал Госуслуг, о статусе рассмотрения Вы можете узнать в органе власти, предоставляющем государственную услугу."
302,"Здравствуйте, я подавал документы на оформление льгот по соц. найму. Можно ли проверить всё ли оформлено???","Здравствуйте. Результат по Вашему обращению в МФЦ не поступает. Рекомендуем обратиться в орган власти, предоставляющий данную услугу."
303,"Добрый день.  По заявлению на пособия до 1,5 Статус- Результат в органе власти в срок указанный на расписке в получении документов. Срок выходит. Подскажите где и сколько ожидать решения,где его забирать. Дата регистрации 24.07.2021  рег.ном 24072021-23822880-23-04",Здравствуйте! МФЦ данными сведениями не располагает. Рекомендуем Вам обратиться в Министерство социальной защиты населения.
304,"Здравствуйте, я хотела узнать я 14.07.2021 приносила паспорт на замену, по смене фамилии, когда его можно будет забрать? ",Здравствуйте! Ваши документы готовы к выдаче.
305,"Что значит статут ""Передано на выдачу""?","Здравствуйте! Данный статус говорит о том, что Вам необходимо обратиться в МФЦ за результатом."
306,"Что означает статус- готов к выдаче? 
И исполнено? ","Здравствуйте! Данный статус говорит о том, что Вам необходимо обратиться в МФЦ за результатом."
307,"30.06.21 подавала заявление о предоставление ежемесечного пособия на рождение первого ребенка и 24.06.21 подавалось на единовременную выплату по рождению ребенка. На госуслугах статус показывает что услуга оказана, а средства не пришли, в заявлении была указана банковкая карта. В какое время ожидать прихода средств? ",Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения .
308,"Здравствуйте, за какой срок делаетсЯ справка о несудимости? ",Здравствуйте. Регламентированный срок предоставление данной услуги 30 дней.
309,"Добрый день! Если супруги взяли ипотеку (созаёмщики) и купили недвижимость. Договор купли-продажи оформили на супругу, брачного договора нет. Может супруг прописаться в данной квартире без личного присутствия в МВД его супруги? Если необходимо её личное присутствие, а она не может присутствовать, в каком виде тогда можно оформить согласие, не посещая МВД.","Здравствуйте! В соответствии с регламентом предоставления услуги Заявителю необходимо предоставить письменное согласие собственника (в случае долевой собственности - всех собственников) о вселении в жилое помещение. Согласие  удостоверяется лицом, ответственным за прием и передачу в органы регистрационного учета документов, либо в соответствии с законодательством Российской Федерации о нотариате.
Таким образом, собственник жилого помещения должен присутствовать при подаче документов или его согласие должно быть удостоверено нотариально. 
Дополнительную информацию Вы можете получить по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22.
"
310,Что означает передано на выдачу огв,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
311,Здравствуйте.что значит  документы переданы на выдачу в огв?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу."
312,"Добрый день, расшифруйте пожалуйста, что означает эта заумная фраза с кучей заумных слов )) что мне делать куда бежать или просто что это означает

ЗАЯВКА 03082021-24053812-23-06
Министерство труда и социального развития Краснодарского края
11.112 Назначение и выплата пособия на ребенка

Статус 

ВЫДАЧА В ОРГАНЕ ВЛАСТИ
Окончательный результат. Результат оказания услуги выдается в органе власти в срок указанный на расписке в получении документов","Здравствуйте. МФЦ Амурской области не располагает информацией о заявках, поданных в Министерство социальной защиты населения Краснодарского края."
