Дата обращения;Вопрос;Ответ;Ссылка
09.06.2021;Здравствуйте подскажите пожалуйста я прописана в Биробиджане, мне нужно оформить региональный капитал, я могу подать документы по факту проживания. Или только по прописке могу подать все документы? ;Здравствуйте! Данная услуга в МФЦ не предоставляется. Рекомендуем Вам обратиться в Управление социальной защиты по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/675807/
08.06.2021;"Как понимать статус?
Статус: Выдача результатов оказания услуги
По детским выплатам";Здравствуйте! По данной услуге результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/674593/
08.06.2021;Здравствуйте, подала документы на пособие с 3до 7.Проверяю статус заявления, а там сначала было на рассмотрение, потом отправили на огв, а через неделю смотрю, отправлено в архив. Что это значит? Я так и не поняла? ;Здравствуйте! В МФЦ данная услуга временно не предоставляется. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу;https://mfc-amur.ru/faq/674589/
07.06.2021;Здравствуйте подвала документы на детское пособие, статус стоит передано на выдачу в ОГВ, одно пособие уже назначено а статус так и не меняется, что означает передано на выдачу в ОГВ ;Здравствуйте! О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/674581/
07.06.2021;"Добрый день, подскажите пожалуйста, отдала паспорт на смену фамилии в связи с замужеством 12.05.21, не по прописке, этим же днем они были приняты и вечером отправлены на рассмотрение в ОГВ.  По сей день, 07.06.21 висит статус ""отправлено на рассмотрение в ОГВ"". Сколько ждать? Хотелось бы знать на каком этапе готовности мой паспорт. Что входит в этот статус "" На рассмотрении в ОГВ""? ";"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.
Дополнительно сообщаем, срок предоставления услуги по выдаче (замене) паспорта гражданина РФ при обращении не по месту жительства составляет 30 дней.
";https://mfc-amur.ru/faq/674580/
06.06.2021;Здравствуйте можно через сайт переоформить детское пособие;Здравствуйте! Вы можете подать заявление на детские пособия через региональный портал государственных и муниципальных услуг Амурской области, пройдя по ссылке https://gu.amurobl.ru/pgu/department/services.htm?id=18685@egOrganization ;https://mfc-amur.ru/faq/674544/
04.06.2021;Сняли деньги с карты за долг за жкх. Деньги получаю с материнского капитала и социальные выплаты. Ребёнку 4 месяца. Что делать? Имеют ли право снимать детские деньги? ;Здравствуйте! МФЦ данной информацией не располагает;https://mfc-amur.ru/faq/674533/
03.06.2021;Здравствуйте! Скажите пожалуйста, у меня утерян договор купли-продажи на квартиру, можно ли его восстановить? ;"Здравствуйте! В МФЦ данная услуга предоставляется. Для получения копии договора купли-продажи Вам необходимо следующее:
1.    Документ, удостоверяющий личность.
2.    Сведения об объекте недвижимости (адрес, кадастровый номер).

Госпошлина за предоставление копии договора купли-продажи будет составлять – 340 руб. Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов.

Дополнительно сообщаем, что копии документов могут быть выданы только ограниченному кругу лиц, в том числе правообладателям или их законным представителям, а также физическим и юридическим лицам, получившим доверенность от правообладателя или его законного представителя.
";https://mfc-amur.ru/faq/674493/
01.06.2021;"Добрый день!
Подскажите, пожалуйста, достаточно ли следующих документов для продажи гаража:
1. Свидетельство о государственной регистрации права.
2. Договор купли-продажи гаража.
3.  Карточка гаража (тех. паспорт).
Или нужны какие-то еще документы?
Нужно ли будет платить налог если гараж находится в собственности более 20 лет?
Есть ли у вас образец договора купли-продажи гаража, который находиться в полной собственности физ. лица?
Заранее спасибо!";"Здравствуйте! Примерный перечень документов для государственной регистрации права на основании договора купли – продажи объекта недвижимости необходимо:
1. Присутствие двух сторон (Продавец, Покупатель);
2. Документ, удостоверяющий личность заявителей;
3. Договор об отчуждении объекта недвижимости в 4-х экземпляров;
4. Нотариально удостоверенное согласие другого супруга на отчуждение объекта недвижимости.

Госпошлина за переход права будет составлять – 2 350 руб. (2 000 руб. - объект и 350 руб. - земля). Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов.

Дополнительно сообщаем, в случае необходимости специалист МФЦ может оказать платную услугу по составлению договора купли-продажи. Для составления договора необходимы следующие документы:
1.    Документ, удостоверяющий личность заявителей;
2.    Правоустанавливающие документы на объект недвижимости и на земельный участок. В случае, если земельный участок находится в аренде, необходимо предоставить договор аренды.

По оплате налогового сбора рекомендуем Вам обратиться в Федеральную налоговую службу РФ по Амурской области, позвонив на горячую линию 8 800 222 22 22.
";https://mfc-amur.ru/faq/674330/
01.06.2021;Что означает передано на выдачу в ОГВ?;"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.
";https://mfc-amur.ru/faq/674324/
31.05.2021;Здравствуйте. Нужно ли мне при продажи квартиры по доверенности от супруга, находящейся в совместной супружеской собственности (квартира записана на мужа) ещё и нотариальное согласие от меня? ;Здравствуйте! Нотариально удостоверенное согласие другого супруга необходимо при отчуждении объекта недвижимости. Дополнительную информацию Вы можете получить по телефону горячей линии Росреестра: 8 800 100 34 34.;https://mfc-amur.ru/faq/674298/
29.05.2021;Здравствуйте. Я сама не с поярково, и мне нужно знать, чтоб постоянно не ездить в поярково, я далеко живу и автобус раз в неделю. Подскажите пожалуйста, какие документы нужно подавать на второго ребёнка на все детские и региональные??? ;Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания.;https://mfc-amur.ru/faq/674265/
29.05.2021;Здравствуйте. Подскажите по региональному материнскому капиталу. Оформлять через вас?;Здравствуйте! Данная услуга в МФЦ не предоставляется. Рекомендуем обратиться в Управление социальной защиты по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/674264/
28.05.2021;Здравствуйте! Можно ли у вас получить справку о том, что ребёнок проживает с матерью (для подачи документов в суд на взыскание алиментов с отца)?;Здравствуйте! Данная услуга в МФЦ не предоставляется.;https://mfc-amur.ru/faq/674261/
27.05.2021;"Добрый день,
мне нужно получить дубликат
свидетельства о смерти сестры в Украине Для этого мне нужно подтвердить родство. Но у меня нет  свидетельства о ее рождении. Родилась моя сестра  в Благовещенcке. Что мне нужно сделать, чтобы получить свидетельство ее рождения. Спасибо

";Здравствуйте! Вам необходимо обратиться с запросом о выдаче повторного свидетельства о рождении в ЗАГС г. Киева по месту Вашего фактического нахождения. Далее ЗАГС г Киева направит самостоятельно через министерство запрос в отдел ЗАГС по г. Благовещенск и Благовещенскому району.;https://mfc-amur.ru/faq/674181/
27.05.2021;"Добрый день,
мне нужно получить дубликат смерти моей сестры.Для этого мне нужно ее свидетельство о рождении, которого у меня тоже нет. Сестра родилась в России  Я живу в Украине Какие мои действия.Спасибо


";Здравствуйте! Вам необходимо обратиться с запросом о выдаче повторного свидетельства о рождении в ЗАГС г. Киева по месту Вашего фактического нахождения. Далее ЗАГС г Киева направит самостоятельно через министерство запрос в отдел ЗАГС по г. Благовещенск и Благовещенскому району.;https://mfc-amur.ru/faq/674180/
24.05.2021;"До какого числа...должны выплатить с 3 до 7 лет...
Если подовала заявление на переращет 26.04.2021";Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания.;https://mfc-amur.ru/faq/674113/
24.05.2021;"Что означает статус""дело в архиве"" ";Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.;https://mfc-amur.ru/faq/674102/
20.05.2021;Какие выплаты мне будут положены при рождении 3-го ребенка?;Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания.;https://mfc-amur.ru/faq/674063/
19.05.2021;Добрый день, можно ли оформить временную регистрацию на детей по копиям свидетельства о рождении (нотариально заверенным?)?;"Здравствуйте! В соответствии с п. 44 Приказа МВД России от 31 декабря 2017 г. № 984 для регистрации по месту пребывания несовершеннолетних граждан со дня рождения и до достижения ими 14-летнего возраста одновременно с заявлением о регистрации по месту пребывания законный представитель представляет следующие документы:
- Свидетельство о рождении (оригинал);
- Паспорта законных представителей.
Более подробную информацию Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.
";https://mfc-amur.ru/faq/674027/
18.05.2021;Как понять передано в огв на рассмотрение и выдачу с 3 до 7;Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управление социальной защиты населения по месту Вашего фактического проживания.;https://mfc-amur.ru/faq/674004/
17.05.2021;Здравствуйте, оформляла очередь в садик в МФЦ, теперь мне необходимо сделать изменения в списке садиков, у вас я могу это сделать и как?;Здравствуйте! Данная услуга в МФЦ не предоставляется. Вам необходимо обратиться в Управление образования по месту Вашего фактического нахождения.  ;https://mfc-amur.ru/faq/673977/
15.05.2021;Как узнать какой я в очереди на квартире?;Здравствуйте! Просим Вас уточнить населенный пункт, в котором Вы проживаете, а также более подробную информацию Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.;https://mfc-amur.ru/faq/673923/
13.05.2021;Здравствуйте! Мне необходимо поменять паспорт по возрасту (45 лет). Записалась на прием, какие документы мне нужно подготовить. Возможно ли оформить паспорт онлайн? Какие сроки выдачи нового паспорта. Заранее благодарю! ;"Здравствуйте! Заявление о выдаче (замене) паспорта РФ можно подать следующими способами:
1.    Через портал Госуслуги, пройдя по ссылки https://www.gosuslugi.ru/10052. 
2.    Через МФЦ по месту Вашего фактического нахождения.
Для замены паспорта в связи с достижением 45-лет необходимы следующие документ:
- Паспорт;
- Фотографии - 2 шт.;
- Документы для проставления отметок (Свидетельство о регистрации (расторжения) брака; Свидетельство о рождении детей, не достигших 14-летнего возраста).

Срок предоставления услуги будет составлять 10 календарных дней в случае обращения по месту жительства (прописка), 30 календарных дней, если Вы обращаетесь не по месту жительства.

ГОСПОШЛИНА за выдачу (замену) паспорта РФ – 300 рублей. Оплатить госпошлину Вы можете в отделении МФЦ с помощью банковской карты по POS-терминалу в момент приема пакета документов. 

Дополнительно сообщаем, в случае подаче заявления через портал Госуслуги предоставляется скидка в размере 30 %.
";https://mfc-amur.ru/faq/673870/
12.05.2021;"Здравствуйте. Подавала документы в МФЦ на 
-""Назначение и выплата единовременного пособия при рождении ребенка""
-""Назначение и выплата ежемесячного пособия по уходу за ребенком""
-""Назначение и выплата областного единовременного пособия при рождении ребенка""
документы поданы были 16.04.2021 , на расписке указаны сроки предоставления услуг 10 календарных дней.
НО статус заявления до сих пор "" передано на выдачу в огв""
что это значит и когда ждать выплаты?
";Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управление социальной защиты населения по месту Вашего фактического проживания.;https://mfc-amur.ru/faq/673865/
11.05.2021;Куда я могу написать жалобу о работе сотрудников МФЦ?;Здравствуйте! Жалобу Вы можете написать в отделении МФЦ по месту Вашего фактического нахождения, потребовав у специалиста МФЦ «Книгу жалоб и предложений» либо направить жалобу через официальный сайт Мои документы (МФЦ Амурской области) в разделе «Обратная связь» https://mfc-amur.ru/about/feedback/.;https://mfc-amur.ru/faq/673823/
05.05.2021;Добрый день. Оформляем соц.выплату одинокопроживающему студенту( прописан и живет один в Благовещенске, Кантемирова 23/2 кв 198) В управляющей компании дали справку по состоянию на 2018 г , что там прописана бывшая хозяйка) Кто нам может дать справку. что ребенок( 19 лет) живет и прописан один на Кантемирова 23/2 кв 198? могут ли мне предоставить ее в МФЦ? ;Здравствуйте! Данная услуга в МФЦ не предоставляется.;https://mfc-amur.ru/faq/673731/
03.05.2021;закочился срок паспорт росийского,прилетит в москву из чехии по загранпаспорту,билеты надо покупать сейчас,можно купить на загранпаспорт или что делать？;Здравствуйте! О возможности покупки билетов по заграничному паспорту рекомендуем уточнить в авиакомпании. ;https://mfc-amur.ru/faq/673698/
30.04.2021;Как работаете с01 по 10 мая;"Здравствуйте! Для получения информации уточните город (район), в МФЦ которого Вы планируете обратиться. Также график работы Вы можете посмотреть в блоке ""Новости"" на официальном сайте МФЦ Амурской области )https://mfc-amur.ru/news/673470/) или по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22.";https://mfc-amur.ru/faq/673688/
29.04.2021;могу ли я сделать у вас что я обучалась на продавца и 1с торговля склад т.к я потеряла 2 свидетельства;Здравствуйте! В МФЦ данная услуга не предоставляется.;https://mfc-amur.ru/faq/673655/
29.04.2021;Здравствуйте мы подали документы на загранпаспорт для ребёнка 31.03.2021,когда будет Точно загранпаспорт ребёнка? а то у нас билет на 15 мая.;"Здравствуйте! 
Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.";https://mfc-amur.ru/faq/673652/
28.04.2021;"Здравствуйте!
Результат по Вашему делу не поступает в МФЦ, о статусе его рассмотрения Вы можете узнать в Управлении социальной защиты населения?";"Здравствуйте!
Уточните пожалуйста Ваш вопрос или для консультации Вы можете обратиться по телефону регионального call-центра МФЦ 8 (4162) 99 22 22. ";https://mfc-amur.ru/faq/673483/
28.04.2021;Можно ли в МФЦ оформить временную регистрацию для гражданина, недавно получившего паспорт РФ.;"Здравствуйте! Вы можете обратиться в МФЦ для получения государственной услуги ""Регистрационный учет граждан Российской Федерации по месту пребывания и по месту жительства в пределах Российской Федерации"". Информацию по услуге можно получить по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22.";https://mfc-amur.ru/faq/673469/
26.04.2021;Можно сделать ИНН и СНИЛС через мобильный телефон;"Здравствуйте!
Для получения ИНН, Вы можете лично обратиться в отделение МФЦ по месту Вашего фактического нахождения.
Также в случае выдачи дубликата, Вы можете запросить через ""Личный кабинет налогоплательщика для физических лиц"" https://lkfl2.nalog.ru/lkfl/login.
Страховой номер индивидуального лицевого счета (СНИЛС) можно получить обратившись также лично в МФЦ, в случае выдачи дубликата Вы можете запросить через личный кабинет ПФР https://es.pfrf.ru/inquiry/snilsDuplicate/.";https://mfc-amur.ru/faq/673228/
25.04.2021;Здравствуйте. Подскажите, будет ли работать МФЦ на майские праздники?;"Здравствуйте!
По запрашиваемой информации сведений нет.
Информация о рабочих (выходных) днях в мае 2021 года будет позже размещена на официальном сайте МФЦ в разделе ""Новости"" (https://mfc-amur.ru/news/) и новостной ленте аккаунта Инстаграм (@mfcamur). Также всю информацию Вы можете узнать по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22.";https://mfc-amur.ru/faq/673184/
23.04.2021;Сколько стоит, составить заявление на вне судебное банкротство юр. лица? ;Здравствуйте! В МФЦ данная услуга не предоставляется.;https://mfc-amur.ru/faq/673164/
23.04.2021;Здравствуйте подавал документы на регистрацию права собственности могу ли я узнать здесь на сайте статус документов ;Здравствуйте! Ваше дело находится в работе у органа исполнителя. Уточнить информацию о ходе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.;https://mfc-amur.ru/faq/673153/
21.04.2021;Добрый день! Я нахожусь сейчас в другом городе по учебе, произошло так что я возможно утеряла паспорт, могу ли заказать его через свой родной город? И получить его в городе временного пребывания;Здравствуйте! В МФЦ не предоставляется услуга по замене Паспорта гражданина РФ в связи с утерей. Рекомендуем Вам обратиться в межмуниципальный отдел МВД России по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/673051/
20.04.2021;Сколько длится процесс обмена квартирами между двумя собственниками? В одной квартире прописан 1 человек, в другой 2 человека. Сколько будет стоить оформление договора мены? Сколько будет стоит выписка из егрн после подписания договора мены?;"Здравствуйте!
Государственная регистрация права на основании договора мены длится 9 рабочих дней.
Стоимость составления договора мены недвижимого имущества в МФЦ составляет 1500 руб., в отношении трех и более объектов стоимость составляет 2500 руб.
Обращаем Ваше внимание, что в соответствии со ст. 333.33 Налогового Кодекса Российской Федерации за государственную регистрацию права на объект недвижимого имущества уплачивается государственная пошлина (за квартиру - 2000 руб.)
Проведенная государственная регистрация удостоверяется выпиской из ЕГРН.
Дополнительно сообщаем, что в отделении МФЦ Вы можете оплатить гос. пошлину с помощью POS-терминала при приеме документов.
При возникновении дополнительных вопросов Вы можете обратиться по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22 или по телефону горячей линии Росреестра: 8 800 100 34 34 (звонок по России - бесплатный).";https://mfc-amur.ru/faq/673014/
20.04.2021;Добрый день, не приходит на электронную почту код подтверждения предварительной записи.;"Здравствуйте. Технические проблемы в работе сайта отсутствуют. В случае отсутствия кода подтверждения пожалуйста проверьте папку ""Спам"" Вашей электронной почты. Также Вы можете записаться через мобильное приложение ""Мои документы. Онлайн"" или в офисе МФЦ с помощью терминала электронной очереди. ";https://mfc-amur.ru/faq/672984/
15.04.2021;Подскажите как узнать очередь в садик для сына,Носарева Георгия Евгеньевича 2008г.р;Здравствуйте! Проверить очередь в детский сад, Вы можете на официальном сайте управления образования (ведомство), пройдя по ссылке http://obrblag.info/komplektovanie-detskih-sadov/, либо обратившись лично в ведомство по месту Вашего фактического проживания. Дополнительно сообщаем, что очередь в детский сад также можно проверить через личный кабинет Портала Госуслуги https://www.gosuslugi.ru/10999/2.;https://mfc-amur.ru/faq/672666/
14.04.2021;"Здравствуйте, что означает статус ""отправлено на рассмотрение в ОГВ""?";Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/672611/
13.04.2021;Завещание оформляется в Мфц? ;Здравствуйте! В МФЦ данная услуга не предоставляется. Рекомендуем обратиться к нотариусу.;https://mfc-amur.ru/faq/672563/
13.04.2021;Справка о составе семьи. Как получить справку о составе семьи? ;Здравствуйте! В МФЦ данная услуга не предоставляется.;https://mfc-amur.ru/faq/672562/
13.04.2021;"Как долго рассматриваются документы?
";Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/672554/
13.04.2021;Здравствуйте. Где взять пин-код,чтобы проверить статус дела?;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу;https://mfc-amur.ru/faq/671461/
12.04.2021;Какая сейчас сумма штрафа за просроченнную прописку(прошло три года);Здравствуйте! МФЦ не владеет данной информацией. Рекомендуем Вам обратиться в МО МВД по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/671458/
10.04.2021;Здравствуйте. Подскажите пожалуйста, могу ли я оформить в г. Белогорске Амурской области договор дарения, если квартира находится в Московской области? ;"Здравствуйте! Вы можете обратиться в отделение ГАУ «МФЦ Амурской области» в городе Белогорск для составления и регистрации договора дарения недвижимости. Для этого Вам необходимо:
1. Документ, удостоверяющий личность (дарителя и одаряемого)
2. Правоустанавливающие документы на недвижимость.
3. Нотариальное согласие на отчуждение супруга (ги), в случае, если недвижимость приобреталась в браке.
Дополнительно сообщаем о том, что Вы можете оплатить госпошлину в отделении МФЦ с помощью банковской карты или любым бесконтактным способом по POS-терминалу в момент приема пакета документов (2000 руб. за государственную регистрацию перехода права по договору дарения, а также 1000 рублей за составление договора дарения).
Дополнительную информацию Вы можете получить по телефону регионального колл-центра МФЦ 8 (4162) 992222 или по телефону горячей линии Росреестра: 8 800 100 3434.";https://mfc-amur.ru/faq/671408/
09.04.2021;Где в описи найти код дела, MFC-0474/2021-32235-5, есть только номер;Здравствуйте! В описи отсутствует код дела. О статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. Дополнительно сообщаем, что документы выданы 12.04.2021;https://mfc-amur.ru/faq/671389/
09.04.2021;Здравствуйте. В марте мне автоматически продлили пособие на ребёнка, и в апреле, пособие почему-то пришло совершенно на другой счёт, по которому я уже год не получаю никаких переводов. Хотя изначально, я подавала документы, для переводов на карту МИР.;Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания;https://mfc-amur.ru/faq/671388/
09.04.2021;Здравствуйте. В марте мне автоматически продлили пособие на ребёнка, и в апреле, пособие почему-то пришло совершенно на другой счёт, по которому я уже год не получаю никаких переводов. Хотя изначально, я подавала документы, для переводов на карту МИР.;Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания;https://mfc-amur.ru/faq/671387/
08.04.2021;Здравствуйте мы подавали документы на регистрацию у нас на заявление написано перенаправление на рассмотрение и выдачи в ОГВ что это значит?;Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22. В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.;https://mfc-amur.ru/faq/671373/
08.04.2021;Здравствуйте подскажите пожалуйста как правильно сделать. Я сейчас нахожусь в декрете до 3-х лет с младшим сыном. У меня есть долги по кредитом по ним уже составлены постановления на аресты У судебных пристовов. Я могу подать заявление в МФЦ на бонкродство так как я в декрете. И кроме детского пособия я ничего больше не получаю. ;"Здравствуйте! Для подачи в МФЦ заявления о банкротстве необходимо, чтобы общий размер долгов составлял от 50 до 500 тыс. руб., в отношении Вас должно быть окончено исполнительное производство в связи с отсутствием имущества, на которое может быть обращено взыскание (т.е. на основании п. 4 ч.1 ст. 46 Федерального закона от 02.10.2007 года № 229-ФЗ ""Об исполнительном производстве"". К заявлению необходимо приложить список всех известных кредиторов. Длительность процедуры составляет 6 мес. Услуга предоставляется бесплатно.";https://mfc-amur.ru/faq/671355/
07.04.2021;здравствуй потеряла паспорт в каком размере будет штраф ?;Здравствуйте! В МФЦ не предоставляется услуга по замене Паспорта гражданина РФ в связи с утерей. Рекомендуем Вам обратиться в межмуниципальный отдел МВД России по месту Вашего фактического нахождения.;https://mfc-amur.ru/faq/671318/
